"genre","us_creator","type","duration","female_percent","age_13_17","age_18_24","age_25_34","age_35_44","age_45_54","age_55_plus","us_audience","sponsored","monthly_views_growth","followers","uploads_90d","month","dow","live","views"
"Entertainment",1,"media company",6.6,84.25395,4.5475507,33.239635,33.619328,16.457573,6.63893,5.4969864,50.48011,0,0.0026286123,1009.791,49,2,3,0,65.329
"Entertainment",0,"influencer",1.1666666,39.74252,2.0856562,36.85742,38.846626,13.949658,4.0149484,4.245689,16.969696,0,0.016380526,160.88,117,12,0,0,9.429
"Entertainment",1,"media company",0.75,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,4,4,0,103.957
"Entertainment",0,"media company",3.8166666,51.264893,0,31.131071,38.448456,13.753804,7.6840715,8.982595,36.666668,0,0.10069473,458.778,384,4,4,0,24.314
"Entertainment",1,"influencer",1.3,11.730209,3.0993245,26.222485,30.727228,16.106722,12.032264,11.8119755,51.111107,0,0.008452531,371.916,0,12,6,0,12.557
"Entertainment",1,"media company",1.0166667,50.046043,1.8988557,12.158836,26.731018,22.811022,18.99381,17.40646,77.846535,0,0.027487054,897.328,1370,6,0,0,87.41
"Entertainment",1,"media company",0.6,50.046043,1.8988557,12.158836,26.731018,22.811022,18.99381,17.40646,77.846535,0,0.027487054,897.328,1370,6,6,0,46.941
"Entertainment",1,"influencer",0.45,11.730209,3.0993245,26.222485,30.727228,16.106722,12.032264,11.8119755,51.111107,0,0.008452531,371.916,0,1,6,0,29.993
"Entertainment",1,"influencer",1.5333333,11.730209,3.0993245,26.222485,30.727228,16.106722,12.032264,11.8119755,51.111107,0,0.008452531,371.916,0,2,6,0,77.079
"Entertainment",1,"influencer",0.15,11.730209,3.0993245,26.222485,30.727228,16.106722,12.032264,11.8119755,51.111107,0,0.008452531,371.916,0,3,6,0,118.701
"Entertainment",0,"media company",4.0333333,51.264893,0,31.131071,38.448456,13.753804,7.6840715,8.982595,36.666668,0,0.10069473,458.778,384,8,5,0,16.8
"Other",1,"media company",0.8333333,32.065845,1.6654885,33.62621,37.664665,14.664199,6.142101,6.2373395,4.954004,0,0.074423276,311.048,294,7,3,0,19.059
"Entertainment",1,"media company",5.883333,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,8,0,0,99.658
"Entertainment",1,"media company",42.966667,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,8,3,0,73.283
"Entertainment",0,"media company",9.533334,51.264893,0,31.131071,38.448456,13.753804,7.6840715,8.982595,36.666668,0,0.10069473,458.778,384,9,4,0,59.841
"Entertainment",0,"media company",1.5,30.311445,3.5237331,28.530708,31.822527,15.214183,10.774184,10.134665,42.39455,0,0.020679232,413.702,548,7,1,0,59.479
"Entertainment",0,"influencer",1.3666667,39.74252,2.0856562,36.85742,38.846626,13.949658,4.0149484,4.245689,16.969696,0,0.016380526,160.88,117,5,4,0,88.316
"Entertainment",1,"media company",0.5,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,9,1,0,241.937
"Entertainment",1,"influencer",0.28333333,11.730209,3.0993245,26.222485,30.727228,16.106722,12.032264,11.8119755,51.111107,0,0.008452531,371.916,0,5,6,0,40.066
"Entertainment",1,"media company",0.6,26.297277,6.10338,41.22508,35.444435,10.348794,3.4559636,3.4223485,72.772446,0,0.026469473,1587.66,1237,10,2,0,328.002
"Entertainment",0,"influencer",1.4,39.74252,2.0856562,36.85742,38.846626,13.949658,4.0149484,4.245689,16.969696,0,0.016380526,160.88,117,7,3,0,79.117
"Entertainment",1,"influencer",0.11666667,11.730209,3.0993245,26.222485,30.727228,16.106722,12.032264,11.8119755,51.111107,1,0.008452531,371.916,0,6,4,0,65.507
"Entertainment",1,"media company",1.6833333,50.046043,1.8988557,12.158836,26.731018,22.811022,18.99381,17.40646,77.846535,0,0.027487054,897.328,1370,8,4,0,86.969
